4096267|Rue Cassini
4099404|Promenade des Anglais
4117272|Promenade Edouard Corniglion-Molinier
4121178|
4121182|Boulevard du Mercantour
4181749|Allée des justes
4186535|Boulevard de Cessole
4186537|Avenue Jean Médecin
4186538|Boulevard Joseph Garnier
4186539|Passage Max Vérola
4186541|Avenue Borriglione
4186542|Boulevard Auguste Raynaud
4186545|Boulevard Victor Hugo
4196060|
4196061|Digue
4196366|Rue Alexandre Mari
4196368|Quai Rauba Capèu
4196370|Quai de la Douane
4196371|Quai Papacino
4196372|Quai des États-Unis
4196373|Avenue de Verdun
4196407|Avenue Notre-Dame
4196410|Rue de Paris
4196411|Avenue du Maréchal Foch
4196422|Rue Lamartine
4196430|Rue Pastorelli
4196431|Rue de l'Hôtel des Postes
4196478|Rue du Lycée
4196482|Rue d'Italie
4196489|Boulevard Carabacel
4196491|Place Wilson
4196540|Rue du Maréchal Joffre
4196552|Rue du Congrès
4196553|Rue Meyerbeer
4196558|Avenue des Fleurs
4196597|Avenue Auber
4196601|Rue Berlioz
4196660|Rue Guiglia
4196665|Rue Rossetti
4196669|
4196674|Cité du Parc
4212607|La Provençale
4226610|Boulevard du Jardin Exotique
4230082|
4230085|
4230086|
4230097|Boulevard du Tenao
4230098|Boulevard du Tenao
4230099|Avenue Saint Romain
4230100|Avenue Delphine
4230126|Rue du Mont Agel
4230179|Boulevard de la République
4230181|Avenue Général de Gaulle
4230182|Avenue Camille Blanc
4239441|
4239442|
4239677|
4239678|
4242742|Boulevard Carnot
4242755|Boulevard Maurice Maeterlinck
4242792|Basse Corniche
4242861|Boulevard du Maréchal Leclerc
4242863|Basse Corniche
4242865|Basse Corniche
4242867|Avenue Raymond Poincaré
4242868|Basse Corniche
4242987|Basse Corniche
4243039|Boulevard Stalingrad
4245039|Passage Catherine Ségurane
4245041|Rue Jean-Pierre Papon
4245042|Rue Passeroni
4245043|Rue Barla
4245044|Rue Boyer
4245050|Rue Ribotti
4245052|Rue Auguste Gal
4245054|Rue Scaliero
4245057|Rue Smolett
4245062|Rue Beaumont
4245063|Rue Beaumont
4245065|Rue Barberis
4245066|Rue Barberis
4245071|Boulevard Général Louis Delfino
4245072|Rue Georges Ville
4245073|Rue Orestis
4245076|Rue Cais de Pierlas
4245077|Rue Badat
4245078|Rue de Roquebillière
4245082|Rue Arson
4245127|Avenue de la République
4245129|
4245130|Rue Boyer
4245134|Rue Bonaparte
4245139|Rue François Guisol
4245141|Rue Catherine Segurane
4245142|Montée Éberlé
4245144|
4245146|Rue Fodéré
4245148|Rue Lascaris
4245149|Rue Lascaris
4245150|Rue Pacho
4245151|Rue Rusca
4245152|Rue Bavastro
4245153|Rue Arson
4245154|Boulevard de Riquier
4245155|
4245157|Quai des Deux Emmanuels
4245158|Rue de Lazaret
4245175|Boulevard Jean Jaurès
4245178|Avenue des Phocéens
4245189|Avenue Saint-Jean-Baptiste
4245224|Rue Pairolière
4245227|Traverse de la Bourgada
4245230|Escalier Jules Eynaudi
4245231|Rue de la Préfecture
4245237|Rue Benoît Bunico
4245241|Rue de l'Abbaye
4245242|Rue Jules Gilly
4245245|Rue Saint-Vincent
4245246|Rue Place Vieille
4245247|Rue Colonna-d'Istria
4245248|Rue Francis Gallo
4245249|Rue de la Loge
4245250|Rue Barillerie
4245251|Rue Saint-Gaëtan
4245252|Rue du Jésus
4245253|Rue Centrale
4245255|Ruelle de la Boucherie
4245265|Rue Sincaire
4245266|Rue de Chœur
4245267|Rue de la Croix
4245268|Rue des Serruriers
4245269|Rue du Pontin
4245270|Rue du Moulin
4245271|Rue de la Condamine
4245272|Rue des Ponchettes
4245273|Rue Gubernatis
4245275|Rue Alberti
4245276|Rue Chauvain
4245277|Rue Blacas
4245278|Rue Sacha Guitry
4245279|Rue Gustave Deloye
4246253|Avenue de France
4246301|Avenue Président Kennedy
4246355|Moyenne Corniche
4246387|Voie Pierre Mathis
4246483|Boulevard Pierre Sola
4246488|Rue Thaon de Revel
4246489|Rue Léotardi
4246490|Rue Maraldi
4246509|Rue Caissotti
4246510|
4246552|Rue Paul Reboux
4246553|Chemin Sorgentino
4246556|Avenue des Diables Bleus
4246561|Ruelle Saint-Jean d'Angely
4246562|Rue Docteur Ardoin
4246563|Rue Beautruch
4246567|
4246570|Rue Jean Allegré
4246600|Rue de la Fontaine de la Ville
4246602|Rue du Béal
4246609|Rue Edouard Scoffier
4246618|
4246621|Rue Soleau
4246622|Boulevard Général Louis Delfino
4246624|Rue Barberis
4246627|Traverse Barla
4246628|Traverse Barla
4246630|Avenue Saint-Sébastien
4246631|Place Garibaldi
4246633|Rue Defly
4246634|Rue Penchienatti
4246637|Boulevard Carabacel
4246640|Rue Miralheti
4246651|Rue Delille
4246652|Rue Tonduti de l'Escarène
4246653|Rue Désiré Niel
4246655|Rue Foncet
4246662|Traverse Flandres Dunkerque
4246663|Rue Alberti
4246671|Montée Éberlé
4246672|Rue de Foresta
4246673|
4246680|Rue Robilant
4246688|
4246694|Descente Crotti
4246695|Descente du Marché
4246707|Rue Raoul Bosio
4246708|Rue Milton-Robbins
4246709|Rue Sulzer
4246710|Rue Bréa
4246711|Rue Varloo
4246712|Quai des États-Unis
4246713|Rue Desboutin
4246714|Rue Jacques Médecin
4246715|Rue de l'Hôtel de Ville
4246716|Quai des États-Unis
4246717|
4246718|Rue Saint-Augustin
4246731|Rue de Belgique
4246734|Avenue Georges Clemenceau
4246736|Rue Gounod
4246737|Avenue Durante
4246746|Rue Dalpozzo
4246747|Rue Dalpozzo
4246748|Rue de France
4246756|Rue Maccarani
4246757|Rue Massenet
4246762|Rue Alphonse Karr
4246764|Avenue Gustave V
4246765|Avenue de Suède
4246766|Rue de la Liberté
4246767|Rue Grimaldi
4246768|Rue Longchamp
4246769|Rue du Docteur Barety
4246770|Rue Verdi
4246771|Rue Paul Déroulède
4246773|Rue Louise Ackermann
4246774|Square Marc-Antoine Charpentier
4246775|Rue Joseph Kosma
4246782|Rue de Russie
4246784|Rue Jacques Offenbach
4246786|Rue de Suisse
4246787|Rue Paganini
4246788|Rue du Commandant Berretta
4246789|Rue de Rivoli
4246790|Rue Cronstadt
4246795|Rue de Châteauneuf
4246797|Rue Frédéric Passy
4246799|Rue Caffarelli
4246802|Rue Dante
4246803|Avenue Shakespeare
4246807|Rue Saint-Philippe
4246809|Avenue des Orangers
4246810|Rue Bottero
4246811|Avenue Depoilly
4246812|Rue de France
4246814|Rue Rancher
4246815|Ruelle des Prés
4246824|Rue Adolphe de Rothschild
4246831|Place Sasserno
4246834|Rue d'Auzac
4246836|Rue Biscarra
4246837|Rue Pertinax
4246838|Rue Assalit
4246840|Boulevard Raimbaldi
4246841|Rue Spitalieri
4246869|Rue Vernier
4246870|Rue Clément Roassal
4247575|Avenue Saint-Sylvestre
4247576|
4253195|La Provençale
4253196|La Provençale
4276701|Avenue de Brancolar
4276702|Avenue Joseph Vallot
4276703|Avenue Valrose
4276704|
4276706|Avenue Gilly
4276707|Avenue Saint-Maurice
4276708|Avenue Daviot
4276711|Avenue Doyen Jean Lepine
4276718|Rue Charles Baudelaire
4276723|Avenue Cyrille Besset
4276725|Rue Michelet
4276740|Rue Caroline
4276741|Rue Jeanne d'Arc
4276752|Rue des Lilas
4276753|Avenue Audiffret
4276761|
4276762|
4276763|
4276764|
4276765|
4276766|
4276768|Boulevard Paul Rémond
4276769|Boulevard Comte de Falicon
4276770|La Provençale
4276771|La Provençale
4276772|La Provençale
4276773|La Provençale
4276781|La Provençale
4276782|La Provençale
4276783|La Provençale
4276784|La Provençale
4276785|La Provençale
4276786|La Provençale
4276787|La Provençale
4276788|La Provençale
4276789|La Provençale
4276790|La Provençale
4276791|La Provençale
4276792|La Provençale
4276807|
4276808|
4276811|Boulevard du Mercantour
4276812|Rond-Point des Vignes
4276824|Boulevard Roger Loeuillet
4276840|
4276841|
4276842|
4276843|
4276844|
4276845|
4276846|
4276849|Traverse Digue des Français
4276851|Boulevard du Mercantour
4276852|Boulevard du Mercantour
4276853|
4276854|
4276855|
4276856|
4276857|
4276858|
4276860|Boulevard du Mercantour
4276861|Boulevard du Mercantour
4276862|Boulevard René Cassin
4276863|Route de Grenoble
